# cid2code.txt (Version 05/10/2001)
#
# The data in this table contains 25 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5078 "Adobe-Japan1-4 Character Collection for CID-Keyed Fonts":
#
# http://partners.adobe.com/asn/developer/technotes.html
#
# This table contains lists CIDs 0 through 15443 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 25, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "H" and "V" CMaps (JIS X
#   0208:1997 character set, ISO-2022-JP encoding).
#
# o Column 3: Character codes for the "RKSJ-H" and "RKSJ-V" CMaps (JIS
#   X 0208:1997 character set, Shift-JIS encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "EUC-H" and "EUC-V" CMaps (JIS
#   X 0208:1997 character set, EUC-JP encoding, half-width Latin
#   characters).
#
# o Column 5: Character codes for the "83pv-RKSJ-H" CMap (KanjiTalk
#   Version 6 character set, Shift-JIS encoding, proportional Latin
#   characters).
#
# o Column 6: Character codes for the "Add-H" and "Add-V" CMaps
#   (Fujitsu character set, ISO-2022-JP encoding, half-width Latin
#   characters).
#
# o Column 7: Character codes for the "Add-RKSJ-H" and "Add-RKSJ-V"
#   CMaps (Fujitsu character set, Shift-JIS encoding, half-width Latin
#   characters).
#
# o Column 8: Character codes for the "Ext-H" and "Ext-V" CMaps (NEC
#   character set, ISO-2022-JP encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "Ext-RKSJ-H" and "Ext-RKSJ-V"
#   CMaps (NEC character set, Shift-JIS encoding, half-width Latin
#   characters).
#
# o Column 10: Character codes for the "NWP-H" and "NWP-V" CMaps (NEC
#   Bungo character set, ISO-2022-JP encoding).
#
# o Column 11: Character codes for the "90pv-RKSJ-H" and "90pv-RKSJ-V"
#   CMap (KanjiTalk Version 7 character set, Shift-JIS encoding,
#   proportional Latin characters).
#
# o Column 12: Character codes for the "90ms-RKSJ-H" and "90ms-RKSJ-V"
#   CMaps (Microsoft Windows 3.1J & 95J character set, Shift-JIS
#   encoding, half-width Latin characters).
#
# o Column 13: Character codes for the "90msp-RKSJ-H" and "90msp-RKSJ-V"
#   CMaps (Microsoft Windows 3.1J & 95J character set, Shift-JIS
#   encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "78-H" and "78-V" CMaps (JIS C
#   6226-1978 character set, ISO-2022-JP encoding, half-width Latin
#   characters).
#
# o Column 15: Character codes for the "78-RKSJ-H" and "78-RKSJ-V"
#   CMaps (JIS C 6226-1978 character set, Shift-JIS encoding,
#   half-width Latin characters).
#
# o Column 16: Character codes for the "78ms-RKSJ-H" and "78ms-RKSJ-V"
#   CMaps (Microsoft Windows 3.1J & 95J character set, JIS C 6226-1978
#   glyphs, Shift-JIS encoding, half-width Latin characters).
#
# o Column 17: Character codes for the "78-EUC-H" and "78-EUC-V" CMaps
#   (JIS C 6226-1978 character set, EUC-JP encoding, half-width Latin
#   characters).
#
# o Column 18: Character codes for the "UniJIS-UCS2-H" and
#   "UniJIS-UCS2-V" CMaps (Unicode UCS-2/UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 19: Character codes for the "UniJIS-UCS2-HW-H" and
#   "UniJIS-UCS2-HW-V" CMaps (Unicode UCS-2/UTF-16 encoding,
#   half-width Latin characters).
#
# o Column 20: Character codes for the "UniJIS-UTF8-H" and
#   "UniJIS-UTF8-V" CMaps (Unicode UTF-8 encoding, proportional Latin
#   characters).
#
# o Columns 21-25: The CMap files for these five columns specify one-
#   byte encodings only: Hiragana, Katakana, Hankaku, Roman, and WP-
#   Symbol.
#
# NOTE: The three new "Pro" CMap files differ from their non-Pro
#       counterparts as follows:
#
#                    UniJISPro-UCS2-V  UniJIS-UCS2-V
#       U+2018       12173             8281
#       U+2019       12174             8282
#       U+201C        7956             8279
#       U+201D        7957             8280
#       U+337B       12044              n/a
#       U+337C       12043              n/a
#       U+337D       12042              n/a
#       U+337E       12041              n/a
#       U+FF1A       12101              n/a
#
#       The UniJISPro-UCS2-HW-V and UniJIS-UCS2-HW-V CMap files share
#       the same differences.
#
#                    UniJISPro-UTF8-V  UniJIS-UTF8-V
#       0xE28098     12173             8281
#       0xE28099     12174             8282
#       0xE2809C      7956             8279
#       0xE2809D      7957             8280
#       0xE38DBB     12044              n/a
#       0xE38DBC     12043              n/a
#       0xE38DBD     12042              n/a
#       0xE38DBE     12041              n/a
#       0xEFBC9A     12101              n/a
#
CID	H	RKSJ	EUC	83pv-RKSJ	Add	Add-RKSJ	Ext	Ext-RKSJ	NWP	90pv-RKSJ	90ms-RKSJ	90msp-RKSJ	78	78-RKSJ	78ms-RKSJ	78-EUC	UniJIS-UCS2	UniJIS-UCS2-HW	UniJIS-UTF8	Hiragana	Katakana	Hankaku	Roman	WP-Symbol
3498	4938	9557	c9b8	9557	4938	9557	4938	9557	4938	9557	9557	9557	4938	9557	9557	c9b8	6a19	*	e6a899	*	*	*	*	*
3499	4939	9558	c9b9	9558	4939	9558	4939	9558	4939	9558	9558	9558	4939	9558	9558	c9b9	6c37	*	e6b0b7	*	*	*	*	*
3500	493a	9559	c9ba	9559	493a	9559	493a	9559	493a	9559	9559	9559	493a	9559	9559	c9ba	6f02	*	e6bc82	*	*	*	*	*
3501	493b	955a	c9bb	955a	493b	955a	493b	955a	493b	955a	955a	955a	493b	955a	955a	c9bb	74e2	*	e793a2	*	*	*	*	*
3502	493c	955b	c9bc	955b	493c	955b	493c	955b	493c	955b	955b	955b	493c	955b	955b	c9bc	7968	*	e7a5a8	*	*	*	*	*
3503	493d	955c	c9bd	955c	493d	955c	493d	955c	493d	955c	955c	955c	493d	955c	955c	c9bd	8868	*	e8a1a8	*	*	*	*	*
3504	493e	955d	c9be	955d	493e	955d	493e	955d	493e	955d	955d	955d	493e	955d	955d	c9be	8a55	*	e8a995	*	*	*	*	*
3505	493f	955e	c9bf	955e	493f	955e	493f	955e	493f	955e	955e	955e	493f	955e	955e	c9bf	8c79	*	e8b1b9	*	*	*	*	*
3506	4940	955f	c9c0	955f	*	*	*	*	*	955f	955f	955f	*	*	*	*	5edf	*	e5bb9f	*	*	*	*	*
3507	4941	9560	c9c1	9560	4941	9560	4941	9560	4941	9560	9560	9560	4941	9560	9560	c9c1	63cf	*	e68f8f	*	*	*	*	*
3508	4942	9561	c9c2	9561	4942	9561	4942	9561	4942	9561	9561	9561	4942	9561	9561	c9c2	75c5	*	e79785	*	*	*	*	*
3509	4943	9562	c9c3	9562	4943	9562	4943	9562	4943	9562	9562	9562	4943	9562	9562	c9c3	79d2	*	e7a792	*	*	*	*	*
3510	4944	9563	c9c4	9563	4944	9563	4944	9563	4944	9563	9563	9563	4944	9563	9563	c9c4	82d7	*	e88b97	*	*	*	*	*
3511	4945	9564	c9c5	9564	4945	9564	4945	9564	4945	9564	9564	9564	4945	9564	9564	c9c5	9328	*	e98ca8	*	*	*	*	*
3512	4946	9565	c9c6	9565	4946	9565	4946	9565	4946	9565	9565	9565	4946	9565	9565	c9c6	92f2	*	e98bb2	*	*	*	*	*
3513	4947	9566	c9c7	9566	4947	9566	4947	9566	4947	9566	9566	9566	4947	9566	9566	c9c7	849c	*	e8929c	*	*	*	*	*
3514	4948	9567	c9c8	9567	4948	9567	4948	9567	4948	9567	9567	9567	4948	9567	9567	c9c8	86ed	*	e89bad	*	*	*	*	*
3515	4949	9568	c9c9	9568	4949	9568	4949	9568	4949	9568	9568	9568	4949	9568	9568	c9c9	9c2d	*	e9b0ad	*	*	*	*	*
3516	494a	9569	c9ca	9569	494a	9569	494a	9569	494a	9569	9569	9569	494a	9569	9569	c9ca	54c1	*	e59381	*	*	*	*	*
3517	494b	956a	c9cb	956a	494b	956a	494b	956a	494b	956a	956a	956a	494b	956a	956a	c9cb	5f6c	*	e5bdac	*	*	*	*	*
3518	494c	956b	c9cc	956b	494c	956b	494c	956b	494c	956b	956b	956b	494c	956b	956b	c9cc	658c	*	e6968c	*	*	*	*	*
3519	494d	956c	c9cd	956c	494d	956c	494d	956c	494d	956c	956c	956c	494d	956c	956c	c9cd	6d5c	*	e6b59c	*	*	*	*	*
3520	494e	956d	c9ce	956d	*	*	*	*	*	956d	956d	956d	*	*	*	*	7015	*	e78095	*	*	*	*	*
3521	494f	956e	c9cf	956e	494f	956e	494f	956e	494f	956e	956e	956e	494f	956e	956e	c9cf	8ca7	*	e8b2a7	*	*	*	*	*
3522	4950	956f	c9d0	956f	4950	956f	4950	956f	4950	956f	956f	956f	4950	956f	956f	c9d0	8cd3	*	e8b393	*	*	*	*	*
3523	4951	9570	c9d1	9570	4951	9570	*	*	*	9570	9570	9570	*	*	*	*	983b	*	e9a0bb	*	*	*	*	*
3524	4952	9571	c9d2	9571	4952	9571	4952	9571	4952	9571	9571	9571	4952	9571	9571	c9d2	654f	*	e6958f	*	*	*	*	*
3525	4953	9572	c9d3	9572	4953	9572	4953	9572	4953	9572	9572	9572	4953	9572	9572	c9d3	74f6	*	e793b6	*	*	*	*	*
3526	4954	9573	c9d4	9573	4954	9573	4954	9573	4954	9573	9573	9573	4954	9573	9573	c9d4	4e0d	*	e4b88d	*	*	*	*	*
3527	4955	9574	c9d5	9574	4955	9574	4955	9574	4955	9574	9574	9574	4955	9574	9574	c9d5	4ed8	*	e4bb98	*	*	*	*	*
3528	4956	9575	c9d6	9575	4956	9575	4956	9575	4956	9575	9575	9575	4956	9575	9575	c9d6	57e0	*	e59fa0	*	*	*	*	*
3529	4957	9576	c9d7	9576	4957	9576	4957	9576	4957	9576	9576	9576	4957	9576	9576	c9d7	592b	*	e5a4ab	*	*	*	*	*
3530	4958	9577	c9d8	9577	4958	9577	4958	9577	4958	9577	9577	9577	4958	9577	9577	c9d8	5a66	*	e5a9a6	*	*	*	*	*
3531	4959	9578	c9d9	9578	4959	9578	4959	9578	4959	9578	9578	9578	4959	9578	9578	c9d9	5bcc	*	e5af8c	*	*	*	*	*
3532	495a	9579	c9da	9579	495a	9579	495a	9579	495a	9579	9579	9579	495a	9579	9579	c9da	51a8	*	e586a8	*	*	*	*	*
3533	495b	957a	c9db	957a	495b	957a	495b	957a	495b	957a	957a	957a	495b	957a	957a	c9db	5e03	*	e5b883	*	*	*	*	*
3534	495c	957b	c9dc	957b	495c	957b	495c	957b	495c	957b	957b	957b	495c	957b	957b	c9dc	5e9c	*	e5ba9c	*	*	*	*	*
3535	495d	957c	c9dd	957c	495d	957c	495d	957c	495d	957c	957c	957c	495d	957c	957c	c9dd	6016	*	e68096	*	*	*	*	*
3536	495e	957d	c9de	957d	495e	957d	495e	957d	495e	957d	957d	957d	495e	957d	957d	c9de	6276	*	e689b6	*	*	*	*	*
3537	495f	957e	c9df	957e	495f	957e	495f	957e	495f	957e	957e	957e	495f	957e	957e	c9df	6577	*	e695b7	*	*	*	*	*
3538	4960	9580	c9e0	9580	4960	9580	4960	9580	4960	9580	9580	9580	4960	9580	9580	c9e0	65a7	*	e696a7	*	*	*	*	*
3539	4961	9581	c9e1	9581	4961	9581	4961	9581	4961	9581	9581	9581	4961	9581	9581	c9e1	666e	*	e699ae	*	*	*	*	*
3540	4962	9582	c9e2	9582	4962	9582	4962	9582	4962	9582	9582	9582	4962	9582	9582	c9e2	6d6e	*	e6b5ae	*	*	*	*	*
3541	4963	9583	c9e3	9583	4963	9583	4963	9583	4963	9583	9583	9583	4963	9583	9583	c9e3	2f57,7236	*	e2bd97,e788b6	*	*	*	*	*
3542	4964	9584	c9e4	9584	4964	9584	4964	9584	4964	9584	9584	9584	4964	9584	9584	c9e4	7b26	*	e7aca6	*	*	*	*	*
3543	4965	9585	c9e5	9585	4965	9585	4965	9585	4965	9585	9585	9585	4965	9585	9585	c9e5	8150	*	e88590	*	*	*	*	*
3544	4966	9586	c9e6	9586	4966	9586	4966	9586	4966	9586	9586	9586	4966	9586	9586	c9e6	819a	*	e8869a	*	*	*	*	*
3545	4967	9587	c9e7	9587	4967	9587	4967	9587	4967	9587	9587	9587	4967	9587	9587	c9e7	8299	*	e88a99	*	*	*	*	*
3546	4968	9588	c9e8	9588	4968	9588	4968	9588	4968	9588	9588	9588	4968	9588	9588	c9e8	8b5c	*	e8ad9c	*	*	*	*	*
3547	4969	9589	c9e9	9589	4969	9589	4969	9589	4969	9589	9589	9589	4969	9589	9589	c9e9	8ca0	*	e8b2a0	*	*	*	*	*
3548	496a	958a	c9ea	958a	496a	958a	496a	958a	496a	958a	958a	958a	496a	958a	958a	c9ea	8ce6	*	e8b3a6	*	*	*	*	*
3549	496b	958b	c9eb	958b	496b	958b	496b	958b	496b	958b	958b	958b	496b	958b	958b	c9eb	8d74	*	e8b5b4	*	*	*	*	*
3550	496c	958c	c9ec	958c	496c	958c	496c	958c	496c	958c	958c	958c	496c	958c	958c	c9ec	2fa9,961c	*	e2bea9,e9989c	*	*	*	*	*
3551	496d	958d	c9ed	958d	496d	958d	496d	958d	496d	958d	958d	958d	496d	958d	958d	c9ed	9644	*	e99984	*	*	*	*	*
3552	496e	958e	c9ee	958e	496e	958e	496e	958e	496e	958e	958e	958e	496e	958e	958e	c9ee	4fae	*	e4beae	*	*	*	*	*
3553	496f	958f	c9ef	958f	496f	958f	496f	958f	496f	958f	958f	958f	496f	958f	958f	c9ef	64ab	*	e692ab	*	*	*	*	*
3554	4970	9590	c9f0	9590	4970	9590	4970	9590	4970	9590	9590	9590	4970	9590	9590	c9f0	6b66	*	e6ada6	*	*	*	*	*
3555	4971	9591	c9f1	9591	4971	9591	4971	9591	4971	9591	9591	9591	4971	9591	9591	c9f1	821e	*	e8889e	*	*	*	*	*
3556	4972	9592	c9f2	9592	4972	9592	4972	9592	4972	9592	9592	9592	4972	9592	9592	c9f2	8461	*	e891a1	*	*	*	*	*
3557	4973	9593	c9f3	9593	4973	9593	4973	9593	4973	9593	9593	9593	4973	9593	9593	c9f3	856a	*	e895aa	*	*	*	*	*
3558	4974	9594	c9f4	9594	4974	9594	4974	9594	4974	9594	9594	9594	4974	9594	9594	c9f4	90e8	*	e983a8	*	*	*	*	*
3559	4975	9595	c9f5	9595	4975	9595	4975	9595	4975	9595	9595	9595	4975	9595	9595	c9f5	5c01	*	e5b081	*	*	*	*	*
3560	4976	9596	c9f6	9596	4976	9596	4976	9596	4976	9596	9596	9596	4976	9596	9596	c9f6	6953	*	e6a593	*	*	*	*	*
3561	4977	9597	c9f7	9597	4977	9597	4977	9597	4977	9597	9597	9597	4977	9597	9597	c9f7	2fb5,98a8	*	e2beb5,e9a2a8	*	*	*	*	*
3562	4978	9598	c9f8	9598	4978	9598	4978	9598	4978	9598	9598	9598	4978	9598	9598	c9f8	847a	*	e891ba	*	*	*	*	*
3563	4979	9599	c9f9	9599	4979	9599	4979	9599	4979	9599	9599	9599	4979	9599	9599	c9f9	8557	*	e89597	*	*	*	*	*
3564	497a	959a	c9fa	959a	497a	959a	497a	959a	497a	959a	959a	959a	497a	959a	959a	c9fa	4f0f	*	e4bc8f	*	*	*	*	*
3565	497b	959b	c9fb	959b	497b	959b	497b	959b	497b	959b	959b	959b	497b	959b	959b	c9fb	526f	*	e589af	*	*	*	*	*
3566	497c	959c	c9fc	959c	497c	959c	497c	959c	497c	959c	959c	959c	497c	959c	959c	c9fc	5fa9	*	e5bea9	*	*	*	*	*
3567	497d	959d	c9fd	959d	497d	959d	497d	959d	497d	959d	959d	959d	497d	959d	959d	c9fd	5e45	*	e5b985	*	*	*	*	*
3568	497e	959e	c9fe	959e	497e	959e	497e	959e	497e	959e	959e	959e	497e	959e	959e	c9fe	670d	*	e69c8d	*	*	*	*	*
3569	4a21	959f	caa1	959f	4a21	959f	4a21	959f	4a21	959f	959f	959f	4a21	959f	959f	caa1	798f	*	e7a68f	*	*	*	*	*
3570	4a22	95a0	caa2	95a0	4a22	95a0	4a22	95a0	4a22	95a0	95a0	95a0	4a22	95a0	95a0	caa2	8179	*	e885b9	*	*	*	*	*
3571	4a23	95a1	caa3	95a1	4a23	95a1	4a23	95a1	4a23	95a1	95a1	95a1	4a23	95a1	95a1	caa3	8907	*	e8a487	*	*	*	*	*
3572	4a24	95a2	caa4	95a2	4a24	95a2	4a24	95a2	4a24	95a2	95a2	95a2	4a24	95a2	95a2	caa4	8986	*	e8a686	*	*	*	*	*
3573	4a25	95a3	caa5	95a3	4a25	95a3	4a25	95a3	4a25	95a3	95a3	95a3	4a25	95a3	95a3	caa5	6df5	*	e6b7b5	*	*	*	*	*
3574	4a26	95a4	caa6	95a4	4a26	95a4	4a26	95a4	4a26	95a4	95a4	95a4	4a26	95a4	95a4	caa6	5f17	*	e5bc97	*	*	*	*	*
3575	4a27	95a5	caa7	95a5	4a27	95a5	4a27	95a5	4a27	95a5	95a5	95a5	4a27	95a5	95a5	caa7	6255	*	e68995	*	*	*	*	*
3576	4a28	95a6	caa8	95a6	4a28	95a6	4a28	95a6	4a28	95a6	95a6	95a6	4a28	95a6	95a6	caa8	6cb8	*	e6b2b8	*	*	*	*	*
3577	4a29	95a7	caa9	95a7	4a29	95a7	4a29	95a7	4a29	95a7	95a7	95a7	4a29	95a7	95a7	caa9	4ecf	*	e4bb8f	*	*	*	*	*
3578	4a2a	95a8	caaa	95a8	4a2a	95a8	4a2a	95a8	4a2a	95a8	95a8	95a8	4a2a	95a8	95a8	caaa	7269	*	e789a9	*	*	*	*	*
3579	4a2b	95a9	caab	95a9	4a2b	95a9	4a2b	95a9	4a2b	95a9	95a9	95a9	4a2b	95a9	95a9	caab	9b92	*	e9ae92	*	*	*	*	*
3580	4a2c	95aa	caac	95aa	4a2c	95aa	4a2c	95aa	4a2c	95aa	95aa	95aa	4a2c	95aa	95aa	caac	5206	*	e58886	*	*	*	*	*
3581	4a2d	95ab	caad	95ab	4a2d	95ab	4a2d	95ab	4a2d	95ab	95ab	95ab	4a2d	95ab	95ab	caad	543b	*	e590bb	*	*	*	*	*
3582	4a2e	95ac	caae	95ac	4a2e	95ac	4a2e	95ac	4a2e	95ac	95ac	95ac	4a2e	95ac	95ac	caae	5674	*	e599b4	*	*	*	*	*
3583	4a2f	95ad	caaf	95ad	4a2f	95ad	4a2f	95ad	4a2f	95ad	95ad	95ad	4a2f	95ad	95ad	caaf	58b3	*	e5a2b3	*	*	*	*	*
3584	4a30	95ae	cab0	95ae	4a30	95ae	4a30	95ae	4a30	95ae	95ae	95ae	4a30	95ae	95ae	cab0	61a4	*	e686a4	*	*	*	*	*
3585	4a31	95af	cab1	95af	4a31	95af	4a31	95af	4a31	95af	95af	95af	4a31	95af	95af	cab1	626e	*	e689ae	*	*	*	*	*
3586	4a32	95b0	cab2	95b0	4a32	95b0	4a32	95b0	4a32	95b0	95b0	95b0	4a32	95b0	95b0	cab2	711a	*	e7849a	*	*	*	*	*
3587	4a33	95b1	cab3	95b1	4a33	95b1	4a33	95b1	4a33	95b1	95b1	95b1	4a33	95b1	95b1	cab3	596e	*	e5a5ae	*	*	*	*	*
3588	4a34	95b2	cab4	95b2	4a34	95b2	4a34	95b2	4a34	95b2	95b2	95b2	4a34	95b2	95b2	cab4	7c89	*	e7b289	*	*	*	*	*
3589	4a35	95b3	cab5	95b3	4a35	95b3	4a35	95b3	4a35	95b3	95b3	95b3	4a35	95b3	95b3	cab5	7cde	*	e7b39e	*	*	*	*	*
3590	4a36	95b4	cab6	95b4	4a36	95b4	4a36	95b4	4a36	95b4	95b4	95b4	4a36	95b4	95b4	cab6	7d1b	*	e7b49b	*	*	*	*	*
3591	4a37	95b5	cab7	95b5	4a37	95b5	4a37	95b5	4a37	95b5	95b5	95b5	4a37	95b5	95b5	cab7	96f0	*	e99bb0	*	*	*	*	*
3592	4a38	95b6	cab8	95b6	4a38	95b6	4a38	95b6	4a38	95b6	95b6	95b6	4a38	95b6	95b6	cab8	2f42,6587	*	e2bd82,e69687	*	*	*	*	*
3593	4a39	95b7	cab9	95b7	4a39	95b7	4a39	95b7	4a39	95b7	95b7	95b7	4a39	95b7	95b7	cab9	805e	*	e8819e	*	*	*	*	*
3594	4a3a	95b8	caba	95b8	4a3a	95b8	4a3a	95b8	4a3a	95b8	95b8	95b8	4a3a	95b8	95b8	caba	4e19	*	e4b899	*	*	*	*	*
3595	4a3b	95b9	cabb	95b9	4a3b	95b9	4a3b	95b9	4a3b	95b9	95b9	95b9	4a3b	95b9	95b9	cabb	4f75	*	e4bdb5	*	*	*	*	*
3596	4a3c	95ba	cabc	95ba	4a3c	95ba	4a3c	95ba	4a3c	95ba	95ba	95ba	4a3c	95ba	95ba	cabc	5175	*	e585b5	*	*	*	*	*
3597	4a3d	95bb	cabd	95bb	4a3d	95bb	4a3d	95bb	4a3d	95bb	95bb	95bb	4a3d	95bb	95bb	cabd	5840	*	e5a180	*	*	*	*	*
3598	4a3e	95bc	cabe	95bc	4a3e	95bc	4a3e	95bc	4a3e	95bc	95bc	95bc	4a3e	95bc	95bc	cabe	5e63	*	e5b9a3	*	*	*	*	*
3599	4a3f	95bd	cabf	95bd	4a3f	95bd	4a3f	95bd	4a3f	95bd	95bd	95bd	4a3f	95bd	95bd	cabf	5e73	*	e5b9b3	*	*	*	*	*
3600	4a40	95be	cac0	95be	4a40	95be	4a40	95be	4a40	95be	95be	95be	4a40	95be	95be	cac0	5f0a	*	e5bc8a	*	*	*	*	*
3601	4a41	95bf	cac1	95bf	4a41	95bf	4a41	95bf	4a41	95bf	95bf	95bf	4a41	95bf	95bf	cac1	67c4	*	e69f84	*	*	*	*	*
3602	4a42	95c0	cac2	95c0	4a42	95c0	4a42	95c0	4a42	95c0	95c0	95c0	4a42	95c0	95c0	cac2	4e26	*	e4b8a6	*	*	*	*	*
3603	4a43	95c1	cac3	95c1	*	*	*	*	*	95c1	95c1	95c1	*	*	*	*	853d	*	e894bd	*	*	*	*	*
3604	4a44	95c2	cac4	95c2	4a44	95c2	4a44	95c2	4a44	95c2	95c2	95c2	4a44	95c2	95c2	cac4	9589	*	e99689	*	*	*	*	*
3605	4a45	95c3	cac5	95c3	4a45	95c3	4a45	95c3	4a45	95c3	95c3	95c3	4a45	95c3	95c3	cac5	965b	*	e9999b	*	*	*	*	*
3606	4a46	95c4	cac6	95c4	4a46	95c4	4a46	95c4	4a46	95c4	95c4	95c4	4a46	95c4	95c4	cac6	2f76,7c73	*	e2bdb6,e7b1b3	*	*	*	*	*
3607	4a47	95c5	cac7	95c5	4a47	95c5	4a47	95c5	4a47	95c5	95c5	95c5	4a47	95c5	95c5	cac7	2fb4,9801	*	e2beb4,e9a081	*	*	*	*	*
3608	4a48	95c6	cac8	95c6	4a48	95c6	4a48	95c6	4a48	95c6	95c6	95c6	4a48	95c6	95c6	cac8	50fb	*	e583bb	*	*	*	*	*
3609	4a49	95c7	cac9	95c7	4a49	95c7	4a49	95c7	4a49	95c7	95c7	95c7	4a49	95c7	95c7	cac9	58c1	*	e5a381	*	*	*	*	*
3610	4a4a	95c8	caca	95c8	4a4a	95c8	4a4a	95c8	4a4a	95c8	95c8	95c8	4a4a	95c8	95c8	caca	7656	*	e79996	*	*	*	*	*
3611	4a4b	95c9	cacb	95c9	4a4b	95c9	4a4b	95c9	4a4b	95c9	95c9	95c9	4a4b	95c9	95c9	cacb	78a7	*	e7a2a7	*	*	*	*	*
3612	4a4c	95ca	cacc	95ca	4a4c	95ca	4a4c	95ca	4a4c	95ca	95ca	95ca	4a4c	95ca	95ca	cacc	5225	*	e588a5	*	*	*	*	*
3613	4a4d	95cb	cacd	95cb	*	*	*	*	*	95cb	95cb	95cb	*	*	*	*	77a5	*	e79ea5	*	*	*	*	*
3614	4a4e	95cc	cace	95cc	4a4e	95cc	4a4e	95cc	4a4e	95cc	95cc	95cc	4a4e	95cc	95cc	cace	8511	*	e89491	*	*	*	*	*
3615	4a4f	95cd	cacf	95cd	4a4f	95cd	4a4f	95cd	4a4f	95cd	95cd	95cd	4a4f	95cd	95cd	cacf	7b86	*	e7ae86	*	*	*	*	*
3616	4a50	95ce	cad0	95ce	4a50	95ce	4a50	95ce	4a50	95ce	95ce	95ce	4a50	95ce	95ce	cad0	504f	*	e5818f	*	*	*	*	*
3617	4a51	95cf	cad1	95cf	4a51	95cf	4a51	95cf	4a51	95cf	95cf	95cf	4a51	95cf	95cf	cad1	5909	*	e5a489	*	*	*	*	*
3618	4a52	95d0	cad2	95d0	4a52	95d0	4a52	95d0	4a52	95d0	95d0	95d0	4a52	95d0	95d0	cad2	2f5a,7247	*	e2bd9a,e78987	*	*	*	*	*
3619	4a53	95d1	cad3	95d1	*	*	4a53	95d1	4a53	95d1	95d1	95d1	4a53	95d1	95d1	cad3	7bc7	*	e7af87	*	*	*	*	*
3620	4a54	95d2	cad4	95d2	4a54	95d2	4a54	95d2	4a54	95d2	95d2	95d2	4a54	95d2	95d2	cad4	7de8	*	e7b7a8	*	*	*	*	*
3621	4a55	95d3	cad5	95d3	4a55	95d3	4a55	95d3	4a55	95d3	95d3	95d3	4a55	95d3	95d3	cad5	8fba	*	e8beba	*	*	*	*	*
3622	4a56	95d4	cad6	95d4	4a56	95d4	4a56	95d4	4a56	95d4	95d4	95d4	4a56	95d4	95d4	cad6	8fd4	*	e8bf94	*	*	*	*	*
3623	4a57	95d5	cad7	95d5	4a57	95d5	4a57	95d5	4a57	95d5	95d5	95d5	4a57	95d5	95d5	cad7	904d	*	e9818d	*	*	*	*	*
3624	4a58	95d6	cad8	95d6	4a58	95d6	4a58	95d6	4a58	95d6	95d6	95d6	4a58	95d6	95d6	cad8	4fbf	*	e4bebf	*	*	*	*	*
3625	4a59	95d7	cad9	95d7	4a59	95d7	4a59	95d7	4a59	95d7	95d7	95d7	4a59	95d7	95d7	cad9	52c9	*	e58b89	*	*	*	*	*
3626	4a5a	95d8	cada	95d8	*	*	*	*	*	95d8	95d8	95d8	*	*	*	*	5a29	*	e5a8a9	*	*	*	*	*
3627	4a5b	95d9	cadb	95d9	4a5b	95d9	4a5b	95d9	4a5b	95d9	95d9	95d9	4a5b	95d9	95d9	cadb	5f01	*	e5bc81	*	*	*	*	*
3628	4a5c	95da	cadc	95da	4a5c	95da	4a5c	95da	4a5c	95da	95da	95da	4a5c	95da	95da	cadc	97ad	*	e99ead	*	*	*	*	*
3629	4a5d	95db	cadd	95db	4a5d	95db	4a5d	95db	4a5d	95db	95db	95db	4a5d	95db	95db	cadd	4fdd	*	e4bf9d	*	*	*	*	*
3630	4a5e	95dc	cade	95dc	4a5e	95dc	4a5e	95dc	4a5e	95dc	95dc	95dc	4a5e	95dc	95dc	cade	8217	*	e88897	*	*	*	*	*
3631	4a5f	95dd	cadf	95dd	4a5f	95dd	4a5f	95dd	4a5f	95dd	95dd	95dd	4a5f	95dd	95dd	cadf	92ea	*	e98baa	*	*	*	*	*
3632	4a60	95de	cae0	95de	4a60	95de	4a60	95de	4a60	95de	95de	95de	4a60	95de	95de	cae0	5703	*	e59c83	*	*	*	*	*
3633	4a61	95df	cae1	95df	4a61	95df	4a61	95df	4a61	95df	95df	95df	4a61	95df	95df	cae1	6355	*	e68d95	*	*	*	*	*
3634	4a62	95e0	cae2	95e0	4a62	95e0	4a62	95e0	4a62	95e0	95e0	95e0	4a62	95e0	95e0	cae2	6b69	*	e6ada9	*	*	*	*	*
